03:29:02.139 - Lote de id product-batch_21-05-2025_03-23-41-790, tamanho 50000, inserido em 7561 ms
03:29:02.511 - Lote de id product-batch_21-05-2025_03-23-40-498, tamanho 50000, inserido em 7892 ms
03:29:02.828 - Lote de id product-batch_21-05-2025_03-23-42-770, tamanho 50000, inserido em 8196 ms
03:29:42.423 - Lote de id product-batch_21-05-2025_03-24-01-335, tamanho 50000, inserido em 39684 ms
03:29:42.436 - Lote de id product-batch_21-05-2025_03-23-43-181, tamanho 50000, inserido em 39113 ms
03:29:42.438 - Lote de id product-batch_21-05-2025_03-23-38-491, tamanho 50000, inserido em 39687 ms
03:29:42.468 - Lote de id product-batch_21-05-2025_03-23-46-057, tamanho 50000, inserido em 38960 ms
03:29:42.511 - Lote de id product-batch_21-05-2025_03-23-45-638, tamanho 50000, inserido em 39650 ms
03:29:50.396 - Lote de id product-batch_21-05-2025_03-23-44-837, tamanho 50000, inserido em 7359 ms
03:29:50.442 - Lote de id product-batch_21-05-2025_03-23-48-657, tamanho 50000, inserido em 7435 ms
03:29:50.462 - Lote de id product-batch_21-05-2025_03-23-40-933, tamanho 50000, inserido em 7342 ms
03:29:50.487 - Lote de id product-batch_21-05-2025_03-23-46-481, tamanho 50000, inserido em 7389 ms
03:29:50.534 - Lote de id product-batch_21-05-2025_03-24-03-921, tamanho 50000, inserido em 7333 ms
03:30:08.195 - Lote de id product-batch_21-05-2025_03-23-50-904, tamanho 50000, inserido em 15456 ms
03:30:08.234 - Lote de id product-batch_21-05-2025_03-24-08-230, tamanho 50000, inserido em 14122 ms
03:30:08.356 - Lote de id product-batch_21-05-2025_03-23-49-150, tamanho 50000, inserido em 14160 ms
03:30:08.437 - Lote de id product-batch_21-05-2025_03-23-48-210, tamanho 50000, inserido em 15609 ms
03:30:08.446 - Lote de id product-batch_21-05-2025_03-23-56-367, tamanho 50000, inserido em 15703 ms
03:30:16.762 - Lote de id product-batch_21-05-2025_03-24-09-151, tamanho 50000, inserido em 7192 ms
03:30:16.856 - Lote de id product-batch_21-05-2025_03-23-52-120, tamanho 50000, inserido em 7298 ms
03:30:16.986 - Lote de id product-batch_21-05-2025_03-23-58-126, tamanho 50000, inserido em 7032 ms
03:30:16.990 - Lote de id product-batch_21-05-2025_03-23-49-580, tamanho 50000, inserido em 7209 ms
03:30:17.032 - Lote de id product-batch_21-05-2025_03-23-49-984, tamanho 50000, inserido em 6986 ms
03:30:37.872 - Lote de id product-batch_21-05-2025_03-23-52-557, tamanho 50000, inserido em 20198 ms
03:30:37.945 - Lote de id product-batch_21-05-2025_03-23-51-301, tamanho 50000, inserido em 20189 ms
03:30:38.000 - Lote de id product-batch_21-05-2025_03-23-59-023, tamanho 50000, inserido em 20224 ms
03:30:38.004 - Lote de id product-batch_21-05-2025_03-23-53-004, tamanho 50000, inserido em 20182 ms
03:30:47.548 - Lote de id product-batch_21-05-2025_03-23-54-247, tamanho 50000, inserido em 8582 ms
03:30:47.632 - Lote de id product-batch_21-05-2025_03-23-51-688, tamanho 50000, inserido em 8556 ms
03:30:47.644 - Lote de id product-batch_21-05-2025_03-23-53-413, tamanho 50000, inserido em 8345 ms
03:30:47.644 - Lote de id product-batch_21-05-2025_03-23-59-925, tamanho 50000, inserido em 8379 ms
03:30:56.502 - Lote de id product-batch_21-05-2025_03-23-55-577, tamanho 50000, inserido em 7985 ms
03:30:56.509 - Lote de id product-batch_21-05-2025_03-24-02-248, tamanho 50000, inserido em 7878 ms
03:30:56.546 - Lote de id product-batch_21-05-2025_03-23-53-870, tamanho 50000, inserido em 7909 ms
03:30:56.567 - Lote de id product-batch_21-05-2025_03-23-54-760, tamanho 50000, inserido em 7959 ms
03:31:04.687 - Lote de id product-batch_21-05-2025_03-24-03-344, tamanho 50000, inserido em 7330 ms
03:31:04.710 - Lote de id product-batch_21-05-2025_03-24-07-671, tamanho 50000, inserido em 7403 ms
03:31:04.820 - Lote de id product-batch_21-05-2025_03-23-56-757, tamanho 50000, inserido em 7480 ms
03:31:04.863 - Lote de id product-batch_21-05-2025_03-23-57-235, tamanho 50000, inserido em 7543 ms
